,id,label,avg_sen_len,std_sen_len
0,cn01_para_5,1,21.4,9.951884243699782
1,cn01_para_7,1,22.8,6.43117407632541
2,cn01_para_9,1,9.0,3.9496835316262997
3,cn01_para_12,1,17.6,4.673328578219168
4,cn01_para_40,1,11.2,2.2271057451320084
5,cn01_para_47,1,15.6,4.317406628984581
6,cn01_para_51,1,11.6,4.079215610874228
7,cn02_para_10,1,6.333333333333333,2.3570226039551585
8,cn02_para_14,1,8.333333333333334,0.9428090415820634
9,cn02_para_15,1,10.666666666666666,7.5203427817856525
10,cn02_para_21,1,9.166666666666666,2.4094720491334933
11,cn02_para_32,1,23.4,14.444376068214229
12,cn02_para_33,1,23.2,12.089665007765932
13,cn02_para_34,1,13.6,5.9531504264548865
14,cn03_para_9,1,9.8,4.214261501141095
15,cn03_para_13,1,8.6,2.1540659228538015
16,cn03_para_17,1,12.0,8.582928793055823
17,cn03_para_19,1,11.2,3.370459909270543
18,cn03_para_40,1,11.4,4.963869458396343
19,cn03_para_42,1,12.166666666666666,3.7155828016013257
20,cn03_para_45,1,14.4,5.535341001239218
21,cn03_para_47,1,10.166666666666666,4.179978734661484
22,cn03_para_56,1,11.5,5.188127472091127
23,cn04_para_3,1,10.666666666666666,3.3499585403736303
24,cn04_para_17,1,14.666666666666666,11.055415967851333
25,cn04_para_27,1,8.2,3.867815921162743
26,cn04_para_28,1,14.8,7.166589146867568
27,cn04_para_38,1,13.5,5.678908345800274
28,cn04_para_39,1,16.2,4.578209256903839
29,cn05_para_4,1,7.6,3.32264954516723
30,cn05_para_7,1,20.8,12.952219886953742
31,cn05_para_14,1,9.0,3.2145502536643185
32,cn05_para_15,1,11.666666666666666,5.647024782032472
33,cn05_para_17,1,16.6,6.681317235396027
34,cn05_para_20,1,15.6,3.9293765408777004
35,cn05_para_23,1,10.833333333333334,3.337497399083464
36,cn05_para_26,1,12.6,7.002856560004639
37,cn05_para_27,1,6.2,1.7204650534085253
38,cn05_para_29,1,6.833333333333333,3.435921354681384
39,cn05_para_34,1,15.6,4.5431266766402185
40,cn05_para_36,1,14.0,5.403702434442518
41,cn05_para_39,1,16.8,5.74108003776293
42,cn05_para_40,1,13.2,8.749857141690944
43,cn05_para_41,1,11.2,5.418486873657627
44,cn05_para_43,1,19.6,6.151422599691879
45,cn07_para_19,1,8.833333333333334,5.4594464513864
46,cn07_para_24,1,13.2,5.528109984434101
47,cn07_para_27,1,9.8,3.1874754901018454
48,cn07_para_33,1,18.666666666666668,12.957194483717874
49,cn07_para_56,1,6.833333333333333,2.1147629234082532
50,cn07_para_60,1,6.333333333333333,2.9249881291307074
51,cn07_para_72,1,17.0,6.6332495807108
52,cn07_para_73,1,10.5,5.024937810560445
53,cn07_para_78,1,10.0,3.3166247903554
54,cn08_para_3,1,19.4,12.142487389328432
55,cn08_para_9,1,15.2,5.114684741017769
56,cn08_para_13,1,16.5,4.387482193696061
57,cn08_para_14,1,21.8,8.109253973085318
58,cn08_para_16,1,16.833333333333332,6.718548123582124
59,cn08_para_19,1,20.8,6.431174076325411
60,cn08_para_21,1,18.8,6.177378084592201
61,cn09_para_4,1,7.8,4.214261501141095
62,cn09_para_13,1,12.833333333333334,3.9334745737353156
63,cn09_para_26,1,16.2,3.9698866482558417
64,cn09_para_29,1,18.8,11.124747188138704
65,cn09_para_30,1,21.4,9.645724441429996
66,cn09_para_32,1,18.0,4.69041575982343
67,cn09_para_39,1,10.333333333333334,4.027681991198191
68,cn09_para_41,1,12.333333333333334,7.630348761506397
69,cn09_para_49,1,11.4,4.8
70,cn09_para_51,1,15.0,6.95221787153807
71,cn09_para_52,1,11.8,6.20966987850401
72,cn09_para_53,1,9.2,6.046486583132389
73,cn10_para_1,1,18.4,6.829348431585549
74,cn10_para_3,1,17.4,5.388877434122992
75,cn10_para_7,1,10.8,5.1146847410177685
76,cn10_para_9,1,12.5,5.283622494715786
77,cn10_para_13,1,9.833333333333334,3.131382371342656
78,cn10_para_16,1,5.0,2.7688746209726918
79,cn10_para_28,1,15.0,5.066228051190222
80,cn10_para_29,1,14.8,8.471127433818948
81,cn10_para_31,1,12.5,4.387482193696061
82,cn10_para_37,1,15.833333333333334,4.2196629670573875
83,cn10_para_42,1,12.8,2.9257477676655586
84,cn10_para_49,1,6.6,2.5768197453450252
85,cn11_para_1,1,17.666666666666668,4.853406592853679
86,cn11_para_7,1,12.6,3.6660605559646724
87,cn11_para_9,1,17.4,10.781465577554844
88,cn11_para_13,1,18.8,5.74108003776293
89,cn11_para_31,1,25.0,10.881176406988354
90,cn11_para_33,1,17.0,9.316651759081692
91,cn12_para_11,1,14.6,7.310266752998826
92,cn12_para_16,1,14.4,2.870540018881465
93,cn12_para_27,1,10.833333333333334,3.131382371342656
94,cn12_para_46,1,15.2,7.05407683541936
95,cn13_para_5,1,8.833333333333334,5.814254514170802
96,cn13_para_9,1,15.4,6.1838499334961226
97,cn13_para_12,1,21.2,19.752468200202223
98,cn13_para_23,1,19.6,7.445804187594515
99,cn13_para_25,1,24.6,8.685620300243386
100,cn14_para_5,1,19.0,5.773502691896258
101,cn14_para_10,1,13.5,10.1447851956888
102,cn14_para_13,1,11.666666666666666,6.497862896539309
103,cn14_para_17,1,15.4,7.964923100695951
104,cn14_para_26,1,9.2,3.9698866482558417
105,cn14_para_34,1,12.8,4.578209256903839
106,cn14_para_35,1,12.2,4.955804677345546
107,cn14_para_40,1,13.8,6.11228271597445
108,cn14_para_44,1,14.4,5.083306010855534
109,cn15_para_1,1,18.6,8.380930735902785
110,cn15_para_2,1,16.8,9.80612053770501
111,cn15_para_3,1,17.4,2.4166091947189146
112,cn15_para_13,1,16.8,6.9397406291589885
113,cn15_para_16,1,13.0,5.059644256269407
114,cn15_para_17,1,15.166666666666666,8.029459646963936
115,cn15_para_19,1,8.833333333333334,3.0776975521032313
116,cn15_para_22,1,16.2,4.166533331199932
117,cn15_para_30,1,5.2,1.7204650534085253
118,cn15_para_35,1,7.2,3.124099870362662
119,cn16_para_4,1,14.8,9.15204895091804
120,cn16_para_19,1,37.4,22.204504047602594
121,cn16_para_35,1,13.2,3.249615361854384
122,cn16_para_41,1,8.666666666666666,6.574360974438673
123,cn17_para_2,1,10.666666666666666,12.736648783028535
124,cn17_para_3,1,10.6,7.172168430816444
125,cn17_para_4,1,19.6,12.09297316626478
126,cn17_para_19,1,24.8,20.5951450589696
127,cn17_para_23,1,8.0,3.847076812334269
128,cn17_para_29,1,14.0,2.280350850198276
129,cn17_para_41,1,11.833333333333334,5.4594464513864
130,cn17_para_45,1,5.0,3.3466401061363023
131,cn17_para_48,1,12.2,6.337191807101944
132,cn18_para_3,1,18.166666666666668,6.011562932290477
133,cn18_para_4,1,17.666666666666668,7.386173268720113
134,cn18_para_10,1,16.333333333333332,7.475887164001935
135,cn18_para_11,1,25.5,11.557825631723873
136,cn19_para_0,1,21.5,10.323920443965719
137,cn20_para_1,1,17.4,7.525955088890711
138,cn20_para_3,1,14.2,7.984985911070852
139,cn20_para_5,1,11.2,4.166533331199932
140,cn20_para_14,1,9.0,3.0550504633038935
