,id,label,mean para depth,Std para depth,Mean ISC score,Std ISC score,Mean ADD,Std Add
0,cn01_para_5,1,0.8505941770647653,0.274388279387458,7.4,4.498888751680798,2.2971165620398355,0.15299766639033766
1,cn01_para_7,1,0.7113626373626374,0.3315252110833604,8.0,3.521363372331802,2.396247086247086,0.41050006108466036
2,cn01_para_9,1,0.5016666666666667,0.3559182178222657,3.2,1.7204650534085253,1.8002197802197801,0.5780605845127533
3,cn01_para_12,1,0.9626065162907269,0.34460992116280276,4.8,2.039607805437114,2.459761904761905,0.5017624267318335
4,cn01_para_40,1,0.9,0.5023402024647695,2.8,1.469693845669907,2.2727272727272725,0.6366476638878716
5,cn01_para_47,1,0.5922892896577107,0.19662697158145898,6.2,2.4819347291981715,2.066984126984127,0.31279653605096475
6,cn01_para_51,1,0.5291330891330891,0.20169890023425124,3.6,1.7435595774162693,2.066666666666667,0.2656229575084871
7,cn02_para_10,1,0.5518518518518519,0.3185400509517706,2.1666666666666665,1.0671873729054748,1.4791666666666667,0.42338336318544945
8,cn02_para_14,1,0.4047619047619047,0.12218098665349723,2.5,0.7637626158259734,1.819047619047619,0.31929627836648017
9,cn02_para_15,1,0.6399350649350649,0.5714794534115447,3.0,2.0,1.8373015873015872,0.9934038564301377
10,cn02_para_21,1,0.4345238095238095,0.21126508587065804,2.6666666666666665,1.7950549357115013,1.8153439153439155,0.4826211873057771
11,cn02_para_32,1,0.7552225552225552,0.49195887541926525,8.0,6.54217089351845,2.146798780487805,0.27746249416796037
12,cn02_para_33,1,0.607726204465335,0.3293046384840902,9.2,6.368673331236263,2.3024813350900306,0.7085376098931478
13,cn02_para_34,1,0.9103189792663476,0.44794596817492127,5.0,2.8284271247461903,2.104160401002506,0.3580216633602353
14,cn03_para_9,1,0.3969230769230769,0.10971722664415651,3.4,1.4966629547095764,1.9293650793650792,0.3254781160558143
15,cn03_para_13,1,0.46409090909090905,0.06518251552815763,2.8,1.7204650534085255,1.8171428571428572,0.326940049425529
16,cn03_para_17,1,0.6852950689157585,0.39784420397697506,3.8333333333333335,2.852873794770615,1.7103174603174605,0.4013433288645604
17,cn03_para_19,1,0.4817016317016317,0.07119638234583728,4.0,1.4142135623730951,1.923809523809524,0.4824352435014834
18,cn03_para_40,1,0.39666666666666667,0.10548828265631106,5.2,2.9933259094191533,2.0833082706766914,0.2575718182615346
19,cn03_para_42,1,0.5513528138528139,0.12712886347796568,5.333333333333333,1.4907119849998596,1.9104617604617606,0.31728682291858235
20,cn03_para_45,1,0.6978362573099416,0.14892471649896138,5.2,2.3151673805580453,2.189920634920635,0.2410987279598022
21,cn03_para_47,1,0.548076923076923,0.35279304920690374,3.6666666666666665,1.1055415967851334,1.652116402116402,0.2231733550558299
22,cn03_para_56,1,0.7965141612200434,0.35734197885957764,4.166666666666667,2.1147629234082532,2.196626984126984,0.4159247457376226
23,cn04_para_3,1,0.6017806267806267,0.08434819850333611,3.3333333333333335,1.3743685418725535,2.0046296296296298,0.4761996618749552
24,cn04_para_17,1,0.4409090909090909,0.36590935232230243,6.333333333333333,5.705747589541231,1.4939148073022313,1.0923551456982539
25,cn04_para_27,1,0.47582417582417574,0.08850077622725662,3.2,1.9390719429665317,1.6976190476190474,0.5351372553711504
26,cn04_para_28,1,0.6203407703407704,0.28253836186465375,5.0,2.1908902300206643,2.225,0.505250213040804
27,cn04_para_38,1,0.5770224171539962,0.20833855567249307,5.5,3.0413812651491097,1.9311313414254592,0.22949890301984965
28,cn04_para_39,1,0.45811688311688314,0.2090731621088286,6.4,2.4166091947189146,2.0439598997493733,0.32806956658204894
29,cn05_para_4,1,0.5538095238095239,0.37500597122985907,2.2,1.469693845669907,1.668181818181818,0.2956060217759321
30,cn05_para_7,1,0.7217852323115481,0.3758567340014194,8.2,5.706137047074843,2.195692128872907,0.3199150042511424
31,cn05_para_14,1,0.43472222222222223,0.07299301285409313,3.0,2.0,1.7273809523809522,0.29927397029653646
32,cn05_para_15,1,0.6382756132756132,0.36319450703893996,3.1666666666666665,1.8633899812498247,2.2170388091440723,0.5162332746100738
33,cn05_para_17,1,0.7027014652014651,0.164073816613025,5.2,3.4292856398964493,2.405818181818182,0.5767534099316349
34,cn05_para_20,1,0.8048051948051947,0.2983746378691199,4.4,1.4966629547095764,2.514771544245228,0.3276615544293619
